"Wavelength" "min195" "min120" "min90" "min60" "min30" "min15" "min5" "min0"
199.408 -0.455075974454966 -0.360884749708964 -0.361348924618918 0.01050825648724 -0.507628596338274 -0.307989690721649 -0.563677960562153 -0.285881801125704
200.004 0.0318211847610658 0.253148481320775 -0.290561703904782 -0.150117949817714 -0.128596338273758 -0.281894329896907 0.156770890075172 -0.309803001876173
200.6 0.162629376789253 0.049952375912795 -0.0282940070996033 0.279969976410036 0.205427201394943 -0.0595115012886598 0.0513127791698442 -0.168855534709193
201.196 -0.686632900242237 -0.373161181077363 -0.650657757360618 -0.580098648938452 -0.817131647776809 -0.400128865979381 -0.952827105349167 -1.13977485928705
201.792 -0.767341995155252 -0.514657635728649 -0.603883900605555 -0.736328543855887 -0.532476024411508 -0.665378006872852 -0.396012637542216 -0.643996247654784
202.388 0.349262277031491 -0.337390200021166 -0.04656504489455 -0.172313960969333 -0.18602877070619 -0.0662623496563574 -0.372595903693213 0.0598030018761726
202.984 -0.277141598766791 -0.236532966451476 -0.211735226560869 -0.22635642290371 0.00337837837837838 -0.0141752577319588 -0.351127573809783 0.603775797373358
203.58 0.157784628936358 -0.0180971531378982 -0.0882230110670286 -0.185395668024877 -0.269725370531822 -0.274914089347079 -0.289356139012964 -0.185858348968105
204.176 0.360603391323497 0.138215684199386 -0.373564418458969 -0.0555436414325542 0.0669136878814298 0.0831185567010309 -0.179758143588626 -0.0538227016885554
204.772 0.0742127284739044 -0.317599746004868 -0.0673418250156609 0.0260561870040746 -0.258173496076722 0.261705326460481 -0.142172349929186 -0.330440900562852
205.368 -0.0417308962783528 -0.167107630437083 -0.20212988097724 -0.148080634784474 -0.207824760244115 -0.149054982817869 -0.283691033881686 -0.187617260787992
205.964 -0.0205901783748073 -0.150492115567785 -0.207767801211109 -0.153978125670169 -0.184829991281604 -0.139067869415808 -0.257217561825907 -0.166510318949343
